артикул;наименование;бренд;категория;направление;ед;закупка;характеристики
iK60N C16 1P;Автоматический выключатель 1P C16, 6 кА;Schneider Electric;Автоматические выключатели;нку;шт;310;230 В, характеристика C
iK60N C25 1P;Автоматический выключатель 1P C25, 6 кА;Schneider Electric;Автоматические выключатели;нку;шт;310;230 В, характеристика C
iK60N C32 2P;Автоматический выключатель 2P C32, 6 кА;Schneider Electric;Автоматические выключатели;нку;шт;690;400 В, характеристика C
iK60N C40 3P;Автоматический выключатель 3P C40, 6 кА;Schneider Electric;Автоматические выключатели;нку;шт;1700;400 В, характеристика C
iK60N C63 3P;Автоматический выключатель 3P C63, 6 кА;Schneider Electric;Автоматические выключатели;нку;шт;1870;400 В, характеристика C
NSX100F TM100D;Автоматический выключатель Compact NSX100F, 3P, 100 А;Schneider Electric;Автоматические выключатели;нку;шт;15900;36 кА, термомагнитный расцепитель
NSX250F TM250D;Автоматический выключатель Compact NSX250F, 3P, 250 А;Schneider Electric;Автоматические выключатели;нку;шт;27600;36 кА, термомагнитный расцепитель
ВА47-29 1P C16;Автоматический выключатель ВА47-29 1P C16;IEK;Автоматические выключатели;нку;шт;95;4,5 кА
ВА47-29 1P C25;Автоматический выключатель ВА47-29 1P C25;IEK;Автоматические выключатели;нку;шт;95;4,5 кА
ВА47-100 3P C80;Автоматический выключатель ВА47-100 3P C80;IEK;Автоматические выключатели;нку;шт;1150;10 кА
ВА47-100 3P C100;Автоматический выключатель ВА47-100 3P C100;IEK;Автоматические выключатели;нку;шт;1290;10 кА
AVDT32 C16 30мА;Дифавтомат 1P+N C16, 30 мА;IEK;УЗО и дифавтоматы;нку;шт;950;тип AC
ВД1-63 2P 40А 30мА;УЗО 2P 40 А, 30 мА, тип AC;IEK;УЗО и дифавтоматы;нку;шт;890;
Acti9 iID 2P 40A 30мА;УЗО 2P 40 А, 30 мА, тип AC;Schneider Electric;УЗО и дифавтоматы;нку;шт;1180;
РП-2-100;Рубильник реверсивный РП-2-100 (1-0-2), 100 А;КЭАЗ;Рубильники и переключатели;нку;шт;4100;3P, с блокировкой
ВНК-63;Выключатель нагрузки ВНК-63, 3P, 63 А;КЭАЗ;Рубильники и переключатели;нку;шт;1380;
ВР32-37 250А;Рубильник ВР32-37, 3P, 250 А;КЭАЗ;Рубильники и переключатели;нку;шт;3600;с видимым разрывом
LC1D25M7;Контактор 25 А, катушка 230 В AC;Schneider Electric;Контакторы и реле;универсальное;шт;2050;AC-3, 11 кВт
LC1D40M7;Контактор 40 А, катушка 230 В AC;Schneider Electric;Контакторы и реле;универсальное;шт;2620;AC-3, 18,5 кВт
КМ107 25А;Контактор КМ107, 25 А, катушка 230 В;КЭАЗ;Контакторы и реле;универсальное;шт;1150;AC-3
